Country Name,Year,Indicator Name,Value
Benin,2022,Agricultural land (% of land area),43.0623652
Benin,2021,Agricultural land (% of land area),41.00234569
Benin,2020,Agricultural land (% of land area),39.31401738
Benin,2019,Agricultural land (% of land area),41.07138524
Benin,2018,Agricultural land (% of land area),39.56020397
Benin,2017,Agricultural land (% of land area),36.30170184
Benin,2016,Agricultural land (% of land area),34.3804984
Benin,2015,Agricultural land (% of land area),36.12294253
Benin,2014,Agricultural land (% of land area),35.4549663
Benin,2013,Agricultural land (% of land area),35.30102873
Benin,2012,Agricultural land (% of land area),33.39123803
Benin,2011,Agricultural land (% of land area),32.0979514
Benin,2010,Agricultural land (% of land area),30.9253636
Benin,2009,Agricultural land (% of land area),33.17067222
Benin,2008,Agricultural land (% of land area),31.78336289
Benin,2007,Agricultural land (% of land area),29.96722242
Benin,2006,Agricultural land (% of land area),29.61445548
Benin,2005,Agricultural land (% of land area),30.80482441
Benin,2004,Agricultural land (% of land area),30.67794431
Benin,2003,Agricultural land (% of land area),30.78216566
Benin,2002,Agricultural land (% of land area),29.86288578
Benin,2001,Agricultural land (% of land area),28.90678432
Benin,2000,Agricultural land (% of land area),28.30681093
Benin,1999,Agricultural land (% of land area),27.54519333
Benin,1998,Agricultural land (% of land area),26.96718695
Benin,1997,Agricultural land (% of land area),25.62849415
Benin,1996,Agricultural land (% of land area),23.98753991
Benin,1995,Agricultural land (% of land area),22.30057645
Benin,1994,Agricultural land (% of land area),21.1693597
Benin,1993,Agricultural land (% of land area),20.62644555
Benin,1992,Agricultural land (% of land area),20.31009223
Benin,1991,Agricultural land (% of land area),20.1162735
Benin,1990,Agricultural land (% of land area),20.05406172
Benin,1989,Agricultural land (% of land area),19.55977297
Benin,1988,Agricultural land (% of land area),19.565094
Benin,1987,Agricultural land (% of land area),19.47481376
Benin,1986,Agricultural land (% of land area),19.38612983
Benin,1985,Agricultural land (% of land area),18.8529177
Benin,1984,Agricultural land (% of land area),18.55972863
Benin,1983,Agricultural land (% of land area),18.39122916
Benin,1982,Agricultural land (% of land area),18.40457609
Benin,1981,Agricultural land (% of land area),18.04540617
Benin,1980,Agricultural land (% of land area),17.77492018
Benin,1979,Agricultural land (% of land area),17.5
Benin,1978,Agricultural land (% of land area),17.32626818
Benin,1977,Agricultural land (% of land area),17.13866619
